year,GEOID,renter_occ_units,tot_pop_rou,med_hh_inc_rou,med_hh_inc_rou_2020_adj,med_yr_blt_rou,med_yr_moved_in_rou,med_gross_rent,med_gross_rent_2020_adj,med_rent_burden,tot_college_degree_rou,pct_college_deg_rou,tot_wh_rou,pct_wh_rou,tot_bl_rou,pct_bl_rou,tot_asn_rou,pct_asn_rou,tot_ltx_rou,pct_ltx_rou
2012,10001,7910,14173,67367,75940,1960,2005,1771,1996,27.7,5033,0.64,4260,0.54,704,0.09,1657,0.21,1150,0.15
2013,10001,8017,15267,74526,82797,1961,2006,1830,2033,27.6,5305,0.66,4473,0.56,759,0.09,1618,0.2,990,0.12
2014,10001,8114,16130,77053,84238,1963,2008,1865,2039,27.8,5284,0.65,4421,0.54,713,0.09,1688,0.21,1045,0.13
2015,10001,8478,17043,77558,84690,1965,2010,1989,2172,26.9,5562,0.66,4651,0.55,788,0.09,1888,0.22,995,0.12
2016,10001,8735,16773,80100,86376,1967,2011,2114,2280,27.8,5831,0.67,4876,0.56,615,0.07,2100,0.24,991,0.11
2017,10001,8868,16873,76768,81056,1970,2012,1912,2019,27.7,6016,0.68,4678,0.53,723,0.08,2209,0.25,1060,0.12
2018,10001,9178,16143,83862,86435,1973,2012,2065,2128,27.4,6210,0.68,4746,0.52,662,0.07,2415,0.26,1176,0.13
2019,10001,9712,16783,87356,88434,1977,2013,2128,2154,27.3,6859,0.71,5337,0.55,706,0.07,2302,0.24,1231,0.13
2020,10001,9711,16726,90821,90821,1988,2015,2169,2169,26.3,7032,0.72,5180,0.53,645,0.07,2041,0.21,1631,0.17
2012,10002,27955,68858,27499,30998,1947,2000,803,905,30.9,7290,0.26,6389,0.23,1714,0.06,12006,0.43,7402,0.26
2013,10002,28106,70624,28384,31534,1947,2000,848,942,31.1,7743,0.28,6304,0.22,1835,0.07,12152,0.43,7380,0.26
2014,10002,28180,68215,28331,30973,1949,2001,863,943,30.5,7857,0.28,6041,0.21,1931,0.07,12219,0.43,7492,0.27
2015,10002,28824,69234,28434,31049,1950,2002,882,963,31,8878,0.31,6125,0.21,2082,0.07,12294,0.43,7843,0.27
2016,10002,28726,66721,30342,32719,1950,2003,919,991,30.9,9382,0.33,6320,0.22,2511,0.09,11643,0.41,7888,0.27
2017,10002,28951,66696,30719,32435,1950,2003,936,988,30.6,9133,0.32,6183,0.21,2303,0.08,12019,0.42,8188,0.28
2018,10002,29070,63915,31122,32077,1949,2005,963,993,30.9,9330,0.32,6118,0.21,2612,0.09,11992,0.41,8042,0.28
2019,10002,28933,63306,31878,32271,1950,2005,980,992,31.7,9188,0.32,6232,0.22,2626,0.09,11756,0.41,8014,0.28
2020,10002,28895,62763,30549,30549,1950,2006,979,979,31.6,8932,0.31,6015,0.21,2588,0.09,12361,0.43,7504,0.26
2012,10003,19217,33868,81429,91791,1939,2003,1836,2070,28.2,14380,0.75,14766,0.77,560,0.03,2075,0.11,1464,0.08
2013,10003,19147,34097,81566,90618,1939,2004,1855,2061,27.9,14385,0.75,14592,0.76,654,0.03,2065,0.11,1448,0.08
